state,visited
Alabama,4.175968109339408
Alaska,4.080745341614906
Arizona,4.169491525423729
Arkansas,4.1149584487534625
California,4.27250155183116
Colorado,4.193957968476357
Delaware,4.049668874172186
Florida,4.208951866846603
Georgia,4.126201923076923
Hawaii,4.274193548387097
Idaho,4.182584269662922
Illinois,4.137931034482759
Indiana,4.102335928809788
Iowa,4.057641459545215
Kansas,4.069683257918552
Kentucky,4.062064965197216
Louisiana,4.142857142857143
Minnesota,3.9610184767913474
Mississippi,4.009054325955734
Missouri,3.940376569037657
Montana,4.148126463700234
Nebraska,3.9761261261261263
Nevada,4.165083135391924
New Mexico,3.915024630541872
New York,4.095431714900742
North Dakota,4.055555555555555
Ohio,4.065158371040724
Oklahoma,4.075558475689882
Oregon,4.183734939759036
Pennsylvania,4.022679483328327
South Carolina,4.286458333333333
South Dakota,3.9873257287705957
Tennessee,4.14320987654321
Texas,4.1623447772096425
Utah,4.080392156862745
Virginia,4.071678321678322
Washington,4.143820224719101
West Virginia,3.9393939393939394
Wisconsin,4.191198786039454
Wyoming,3.9962311557788945
none,4.058648267210287
